0,28.03
3.1554e-30,28.03
4,28.023
8,28.015
12,28.008
16,28.001
20,27.993
24,27.986
28,27.979
32,27.971
36,27.964
40,27.957
44,27.949
48,27.942
52,27.935
56,27.927
60,27.92
64,27.913
68,27.905
72,27.898
76,27.89
80,27.882
84,27.874
88,27.866
92,27.857
96,27.847
100,27.835
104,27.822
108,27.806
112,27.785
116,27.758
120,27.72
124,27.666
128,27.589
132,27.477
136,27.314
140,27.075
144,26.727
148,26.226
152,25.516
156,24.531
160,23.205
164,21.475
168,19.296
172,16.648
176,13.534
180,9.9778
184,6.0143
188,1.6857
192,-2.9654
196,-7.899
200,-13.079
